constructorStandingsId,raceId,constructorId,points,position,positionText,wins
9387,385,6,62,2,2,1
9405,386,6,65,2,2,1
9423,387,6,65,2,2,1
9440,388,1,13,1,1,1
9453,389,1,16,2,2,1
9454,389,3,16,1,1,1
9469,390,3,16,2,2,1
9484,391,3,22,2,2,1
9487,391,32,18,3,3,1
9499,392,3,30,2,2,1
9654,402,6,38,4,4,1
9684,404,3,9,1,1,1
9697,405,3,15,2,2,1
9698,405,32,15,1,1,1
9710,406,3,21,1,1,1
9711,406,32,15,3,3,1
9718,406,1,18,2,2,1
9723,407,3,24,2,2,1
9724,407,32,19,3,3,1
9737,408,32,25,3,3,1
9750,409,32,27,3,3,1
9885,418,22,19,6,6,1
9899,419,22,19,6,6,1
9909,420,1,9,1,1,1
9923,421,1,9,3,3,1
9925,421,32,16,1,1,1
9938,422,1,12,3,3,1
9970,424,6,37,1,1,1
10028,425,3,17,4,4,1
10018,425,6,47,1,1,1
10061,426,34,10,6,6,1
10050,426,6,50,1,1,1
10060,426,3,23,4,4,1
10066,427,6,56,1,1,1
10076,427,3,23,4,4,1
10077,427,34,14,6,6,1
10092,428,3,24,4,4,1
10093,428,34,14,6,6,1
10108,429,3,24,4,4,1
10109,429,34,15,5,5,1
10124,430,3,25,4,4,1
10125,430,34,15,5,5,1
10140,431,3,25,4,4,1
10141,431,34,24,5,5,1
10157,432,3,34,4,4,1
10158,432,34,26,5,5,1
10175,433,34,26,5,5,1
10192,434,34,26,5,5,1
10209,435,34,26,5,5,1
10214,436,1,9,1,1,1
10251,438,6,13,2,2,1
10281,439,6,19,2,2,1
10296,440,6,22,2,2,1
10311,441,6,24.5,2,2,1
10325,442,34,9,6,6,1
10326,442,6,26.5,2,2,1
10341,443,6,26.5,3,3,1
10348,444,3,25.5,4,4,1
10356,444,6,32.5,2,2,1
10363,445,3,25.5,5,5,1
10371,445,6,35.5,2,2,1
10378,446,3,25.5,5,5,1
10386,446,6,36.5,3,3,1
10393,447,3,25.5,6,6,1
10401,447,6,40.5,2,2,1
10408,448,3,25.5,6,6,1
10416,448,6,40.5,3,3,1
10446,449,6,46.5,2,2,1
10438,449,3,25.5,6,6,1
10453,450,3,25.5,6,6,1
10461,450,6,54.5,2,2,1
10468,451,3,25.5,6,6,1
10476,451,6,57.5,2,2,1
10482,452,34,9,1,1,1
10497,453,34,9,2,2,1
10498,453,1,19,1,1,1
10512,454,34,15,2,2,1
10513,454,1,19,1,1,1
10517,454,4,13,3,3,1
10527,455,34,15,4,4,1
10528,455,1,21,2,2,1
10530,455,6,22,1,1,1
10532,455,4,19,3,3,1
10542,456,34,21,3,3,1
10543,456,1,21,4,4,1
10544,456,3,21,5,5,1
10545,456,6,25,1,1,1
10547,456,4,23,2,2,1
10557,457,34,24,3,3,1
10558,457,1,21,5,5,1
10559,457,3,24,4,4,1
10560,457,6,31,2,2,1
10572,458,34,27,4,4,1
10573,458,1,25,5,5,1
10574,458,3,32,2,2,1
10575,458,6,31,3,3,1
10579,458,25,11,6,6,1
10587,459,34,27,4,4,1
10588,459,1,26,5,5,1
10589,459,3,35,3,3,1
10594,459,25,11,6,6,1
10602,460,34,33,4,4,1
10603,460,1,27,5,5,1
10604,460,3,35,3,3,1
10609,460,25,11,6,6,1
